OiGO HELP ME,,,,,,,,,
,,,,,,,,,
WHEN I AM,,,,,,,,,
,HAPPY,I can,laugh,,,,,,
,,,do a chore for someone,,,,,,
,,,sing quietly,,,,,,
,,,,,,,,,
,SAD,I can,write in my journal,,,,,,
,,,look at pictures of friends,,,,,,
,,,play my music,,,,,,
,,,,,,,,,
,ANGRY,I can,count to ten,,,,,,
,,,talk quietly to a friend,,,,,,
,,,write down what I should have done,,,,,,
,,,,,,,,,
,FRUSTRATED,I can,write a list of my strengths,,,,,,
,,,wear my favorite hat,,,,,,
,,,write a birthday card to my hero,,,,,,
,,,,,,,,,
,WORRIED,I can,write in my journal,,,,,,
,,,talk to my friend,,,,,,
,,,plan a party with friends,,,,,,
,,,,,,,,,
,SCARED,I can,talk to a friend,,,,,,
,,,find someone I trust,,,,,,
,,,think a happy thought,,,,,,
